"pressure","profile","value"
"100841",41,"id2145_2003",1027.0256693859
"100842",42,"id2145_2003",1027.03046638775
"102804",4,"id2154_2003",1025.78396677774
"102805",5,"id2154_2003",1025.7839908799
"102806",6,"id2154_2003",1025.79788592171
"102807",7,"id2154_2003",1025.82163117534
"102808",8,"id2154_2003",1025.82201755199
"102809",9,"id2154_2003",1025.87467696134
"102810",10,"id2154_2003",1025.92200496284
"102811",11,"id2154_2003",1025.96319387092
"102812",12,"id2154_2003",1026.0350100922
"102813",13,"id2154_2003",1026.07489052882
"102814",14,"id2154_2003",1026.28936500499
"102815",15,"id2154_2003",1026.31822472137
"102816",16,"id2154_2003",1026.42052972745
"102817",17,"id2154_2003",1026.49439197151
"102818",18,"id2154_2003",1026.55152588804
"102819",19,"id2154_2003",1026.73459879877
"102820",20,"id2154_2003",1026.82425381164
"102821",21,"id2154_2003",1026.81135496905
"102822",22,"id2154_2003",1026.84410644013
"102823",23,"id2154_2003",1026.90078046378
"102824",24,"id2154_2003",1026.98683852157
"102825",25,"id2154_2003",1026.97891966864
"102826",26,"id2154_2003",1026.97824420285
"102827",27,"id2154_2003",1026.97909147905
"102828",28,"id2154_2003",1026.98101444081
"102829",29,"id2154_2003",1026.98350791362
"102830",30,"id2154_2003",1026.98638541215
"102831",31,"id2154_2003",1026.98951043945
"102832",32,"id2154_2003",1026.99280743803
"102833",33,"id2154_2003",1026.99624113838
"102834",34,"id2154_2003",1026.99979138634
"102835",35,"id2154_2003",1027.00344138856
"102836",36,"id2154_2003",1027.00717531232
"102837",37,"id2154_2003",1027.01097731038
"102838",38,"id2154_2003",1027.01483311747
"102839",39,"id2154_2003",1027.01873073625
"102840",40,"id2154_2003",1027.02266037218
"102841",41,"id2154_2003",1027.02661403216
"102842",42,"id2154_2003",1027.03058510365
"102843",43,"id2154_2003",1027.03456815222
"102844",44,"id2154_2003",1027.0385589064
"102845",45,"id2154_2003",1027.04255407043
"102846",46,"id2154_2003",1027.04655134737
"106804",4,"id2172_2003",1026.10360446367
"106805",5,"id2172_2003",1026.13000745566
"106806",6,"id2172_2003",1026.15923560267
"106807",7,"id2172_2003",1026.16655569629
"106808",8,"id2172_2003",1026.17822696266
"106809",9,"id2172_2003",1026.4182101397
"106810",10,"id2172_2003",1026.77192463909
"106811",11,"id2172_2003",1026.80249609471
"106812",12,"id2172_2003",1026.82373933626
"106813",13,"id2172_2003",1026.86045876486
"106814",14,"id2172_2003",1026.870895624
"106815",15,"id2172_2003",1026.87142115746
"106816",16,"id2172_2003",1026.87433720865
"106817",17,"id2172_2003",1026.87860094541
"106818",18,"id2172_2003",1026.88377269378
"106819",19,"id2172_2003",1026.88751401119
"106820",20,"id2172_2003",1026.89097119057
"106821",21,"id2172_2003",1026.89502235917
"106822",22,"id2172_2003",1026.90064528392
"106823",23,"id2172_2003",1026.90682334957
"106824",24,"id2172_2003",1026.91380519798
"106825",25,"id2172_2003",1026.91990572103
"106826",26,"id2172_2003",1026.92383651199
"106827",27,"id2172_2003",1026.92800660751
"106828",28,"id2172_2003",1026.93334851533
"106829",29,"id2172_2003",1026.93916470479
"106830",30,"id2172_2003",1026.94496963646
"106831",31,"id2172_2003",1026.95054605045
"106832",32,"id2172_2003",1026.95588666319
"106833",33,"id2172_2003",1026.96104519894
"106834",34,"id2172_2003",1026.96608052385
"106835",35,"id2172_2003",1026.97105988375
"106836",36,"id2172_2003",1026.97603292994
"106837",37,"id2172_2003",1026.98102108321
"106838",38,"id2172_2003",1026.9860283241
"106839",39,"id2172_2003",1026.99105240636
"106840",40,"id2172_2003",1026.99608777177
"106841",41,"id2172_2003",1027.00113025462
"106842",42,"id2172_2003",1027.00617843193
"106843",43,"id2172_2003",1027.01123126871
"106844",44,"id2172_2003",1027.01628713426
"106845",45,"id2172_2003",1027.02134428285
"112804",4,"id240_2003",1026.32236647939
"112805",5,"id240_2003",1026.31732600655
"112806",6,"id240_2003",1026.3217972928
"112807",7,"id240_2003",1026.35323943299
"112808",8,"id240_2003",1026.40466338237
"112809",9,"id240_2003",1026.44026374317
"112810",10,"id240_2003",1026.44326484085
"112811",11,"id240_2003",1026.43864641253
"112812",12,"id240_2003",1026.44879660547
"112813",13,"id240_2003",1026.46837205587
"112814",14,"id240_2003",1026.48882489856
"112815",15,"id240_2003",1026.52261832081
"112816",16,"id240_2003",1026.58872602614
"112817",17,"id240_2003",1026.67596832258
"112818",18,"id240_2003",1026.751817191
"112819",19,"id240_2003",1026.80101965949
"112820",20,"id240_2003",1026.83027183974
"112821",21,"id240_2003",1026.84659425078
"112822",22,"id240_2003",1026.85479049865
"112823",23,"id240_2003",1026.86131150578
"112824",24,"id240_2003",1026.88010131214
"112825",25,"id240_2003",1026.92313784308
"112826",26,"id240_2003",1026.97501340714
"112827",27,"id240_2003",1027.00975092122
"112828",28,"id240_2003",1027.02342056702
"112829",29,"id240_2003",1027.02887005215
"112830",30,"id240_2003",1027.03383137375
"112831",31,"id240_2003",1027.03879269522
"112832",32,"id240_2003",1027.04375401661
"112833",33,"id240_2003",1027.04871533795
"112834",34,"id240_2003",1027.05367665925
"112835",35,"id240_2003",1027.05863798052
"112836",36,"id240_2003",1027.06359930176
"112837",37,"id240_2003",1027.06856062298
"112838",38,"id240_2003",1027.07352194418
"112839",39,"id240_2003",1027.07848326537
"112840",40,"id240_2003",1027.08344458655
"112841",41,"id240_2003",1027.08840590772
"112842",42,"id240_2003",1027.09336722889
"112843",43,"id240_2003",1027.09832855005
"112844",44,"id240_2003",1027.10328987121
"112845",45,"id240_2003",1027.10825119237
"112846",46,"id240_2003",1027.11321251353
"112847",47,"id240_2003",1027.11817383468
"112848",48,"id240_2003",1027.12313515584
"112849",49,"id240_2003",1027.12809647699
"112850",50,"id240_2003",1027.13305779815
"112851",51,"id240_2003",1027.1380191193
"116804",4,"id2516_2003",1026.35336034955
"116805",5,"id2516_2003",1026.30346608518
"116806",6,"id2516_2003",1026.34544590823
"116807",7,"id2516_2003",1026.40179281507
"116808",8,"id2516_2003",1026.36723823411
"116809",9,"id2516_2003",1026.47998369021
"116810",10,"id2516_2003",1026.59010703396
"116811",11,"id2516_2003",1026.69272801811
"116812",12,"id2516_2003",1026.74438962399
"116813",13,"id2516_2003",1026.76192258232
"116814",14,"id2516_2003",1026.81793440756
"116815",15,"id2516_2003",1026.94286398911
"116816",16,"id2516_2003",1027.14085782839
"116817",17,"id2516_2003",1027.13430182619
"116818",18,"id2516_2003",1027.17200647385
"116819",19,"id2516_2003",1027.1788969212
"116820",20,"id2516_2003",1027.1884691833
"116821",21,"id2516_2003",1027.19402373468
"116822",22,"id2516_2003",1027.20076329871
"116823",23,"id2516_2003",1027.2090267794
"116824",24,"id2516_2003",1027.21456124796
"116825",25,"id2516_2003",1027.2199095545
"116826",26,"id2516_2003",1027.22612214245
"116827",27,"id2516_2003",1027.23402166754
"116828",28,"id2516_2003",1027.23931546024
"116829",29,"id2516_2003",1027.24432725381
"116830",30,"id2516_2003",1027.24933900605
"116831",31,"id2516_2003",1027.25435074471
"116832",32,"id2516_2003",1027.25936247511
"116833",33,"id2516_2003",1027.26437419989
"116834",34,"id2516_2003",1027.2693859208
"116835",35,"id2516_2003",1027.27439763906
"116836",36,"id2516_2003",1027.27940935549
"116837",37,"id2516_2003",1027.28442107054
"116838",38,"id2516_2003",1027.28943278453
"116839",39,"id2516_2003",1027.2944444977
"116840",40,"id2516_2003",1027.29945621025
"116841",41,"id2516_2003",1027.30446792234
"116842",42,"id2516_2003",1027.30947963409
"116843",43,"id2516_2003",1027.31449134558
"116844",44,"id2516_2003",1027.3195030569
"116845",45,"id2516_2003",1027.32451476809
"116846",46,"id2516_2003",1027.32952647919
"116847",47,"id2516_2003",1027.33453819024
"116848",48,"id2516_2003",1027.33954990126
"116849",49,"id2516_2003",1027.34456161226
"176804",4,"id541_2003",1026.10978421181
"176805",5,"id541_2003",1026.11704787171
"176806",6,"id541_2003",1026.12250024099
"176807",7,"id541_2003",1026.12799132285
"176808",8,"id541_2003",1026.13295322418
"176809",9,"id541_2003",1026.13999587994
"176810",10,"id541_2003",1026.14800492912
"176811",11,"id541_2003",1026.15250465168
"176812",12,"id541_2003",1026.15814476339
"176813",13,"id541_2003",1026.16771785918
"176814",14,"id541_2003",1026.17475059139
"176815",15,"id541_2003",1026.20446106672
"176816",16,"id541_2003",1026.27305928501
"176817",17,"id541_2003",1026.29040565539
"176818",18,"id541_2003",1026.29155615399
"176819",19,"id541_2003",1026.41040415788
"176820",20,"id541_2003",1026.4613901323
"176821",21,"id541_2003",1026.55850150299
"176822",22,"id541_2003",1026.5968622825
"176823",23,"id541_2003",1026.68080270039
"176824",24,"id541_2003",1026.76079404918
"176825",25,"id541_2003",1026.8440771389
"176826",26,"id541_2003",1027.00643769994
"176827",27,"id541_2003",1027.07839468877
"176828",28,"id541_2003",1027.08097566381
"176829",29,"id541_2003",1027.08774460948
"176830",30,"id541_2003",1027.09532579629
"176831",31,"id541_2003",1027.10128559181
"176832",32,"id541_2003",1027.10625886519
"176833",33,"id541_2003",1027.11176127087
"176834",34,"id541_2003",1027.11768790383
"176835",35,"id541_2003",1027.12307291862
"176836",36,"id541_2003",1027.12795288206
"176837",37,"id541_2003",1027.13294433232
"176838",38,"id541_2003",1027.138185545
"176839",39,"id541_2003",1027.14339032772
"176840",40,"id541_2003",1027.148333161
"176841",41,"id541_2003",1027.15302183208
"176842",42,"id541_2003",1027.1575522063
"176843",43,"id541_2003",1027.16204134889
"184804",4,"id788_2003",1026.05275736224
"184805",5,"id788_2003",1026.05175470986
"184806",6,"id788_2003",1026.04509456292
"184807",7,"id788_2003",1026.04315342677
"184808",8,"id788_2003",1026.01645777819
"184809",9,"id788_2003",1026.01419291498
"184810",10,"id788_2003",1026.2168550264
"184811",11,"id788_2003",1026.54609680541
"184812",12,"id788_2003",1026.79361016983
"184813",13,"id788_2003",1026.93488057653
"184814",14,"id788_2003",1027.00957347778
"184815",15,"id788_2003",1027.078596645
"184816",16,"id788_2003",1027.1453227549
"184817",17,"id788_2003",1027.18885009905
"184818",18,"id788_2003",1027.2103484578
"184819",19,"id788_2003",1027.21972669468
"184820",20,"id788_2003",1027.23024295652
"184821",21,"id788_2003",1027.24273552349
"184822",22,"id788_2003",1027.25354142883
"184823",23,"id788_2003",1027.26132595332
"184824",24,"id788_2003",1027.26663844507
"184825",25,"id788_2003",1027.27123643332
"184826",26,"id788_2003",1027.27575577498
"184827",27,"id788_2003",1027.28033622969
"184828",28,"id788_2003",1027.28494033493
"184829",29,"id788_2003",1027.28954596458
"184830",30,"id788_2003",1027.29416678941
"184831",31,"id788_2003",1027.29885660431
"184832",32,"id788_2003",1027.3036808812
"184833",33,"id788_2003",1027.30870443119
"184834",34,"id788_2003",1027.31397010546
"184835",35,"id788_2003",1027.31947349593
"184836",36,"id788_2003",1027.32509338991
"184837",37,"id788_2003",1027.33071027391
"184838",38,"id788_2003",1027.33624111393
"184839",39,"id788_2003",1027.34162044574
"184840",40,"id788_2003",1027.34680028806
"184841",41,"id788_2003",1027.35176212627
"184842",42,"id788_2003",1027.35654049431
"184843",43,"id788_2003",1027.36122648691
"184844",44,"id788_2003",1027.36595328696
"184845",45,"id788_2003",1027.37086978718
"184846",46,"id788_2003",1027.37612264139
"184847",47,"id788_2003",1027.38182048053
"184848",48,"id788_2003",1027.38802908908
"184849",49,"id788_2003",1027.3947598085
"184850",50,"id788_2003",1027.4019886616
"184851",51,"id788_2003",1027.40965762684
"184852",52,"id788_2003",1027.4176926896
"184853",53,"id788_2003",1027.42601352034
"184854",54,"id788_2003",1027.43454939216
"184855",55,"id788_2003",1027.44323607784
"184856",56,"id788_2003",1027.45201625911
"184857",57,"id788_2003",1027.46084285922
"184858",58,"id788_2003",1027.46967996738
"184859",59,"id788_2003",1027.47851001046
"184860",60,"id788_2003",1027.48732646269
"184861",61,"id788_2003",1027.49613187987
"184862",62,"id788_2003",1027.50493114004
"186804",4,"id798_2003",1026.05726302122
"186805",5,"id798_2003",1026.06081091424
"186806",6,"id798_2003",1026.05982471765
"186807",7,"id798_2003",1026.0550974062
"186808",8,"id798_2003",1026.05647982656
"186809",9,"id798_2003",1026.04527251327
"186810",10,"id798_2003",1026.08120131998
"186811",11,"id798_2003",1026.14252527013
"186812",12,"id798_2003",1026.47620852506
"186813",13,"id798_2003",1026.85446765028
"186814",14,"id798_2003",1027.00778158019
"186815",15,"id798_2003",1027.06946915712
"186816",16,"id798_2003",1027.10392369064
"186817",17,"id798_2003",1027.11278051283
"186818",18,"id798_2003",1027.14433103861
"186819",19,"id798_2003",1027.17724680326
"186820",20,"id798_2003",1027.19668955133
"186821",21,"id798_2003",1027.21137449011
"186822",22,"id798_2003",1027.22802084804
"186823",23,"id798_2003",1027.23852861696
"186824",24,"id798_2003",1027.24551425418
"186825",25,"id798_2003",1027.25001943459
"186826",26,"id798_2003",1027.25439612987
"186827",27,"id798_2003",1027.25978764734
"186828",28,"id798_2003",1027.26467663009
"186829",29,"id798_2003",1027.26934864631
"186830",30,"id798_2003",1027.27422468221
"186831",31,"id798_2003",1027.27917571573
"186832",32,"id798_2003",1027.28430226695
"186833",33,"id798_2003",1027.28977501507
"186834",34,"id798_2003",1027.29681819233
"186835",35,"id798_2003",1027.30583990456
"186836",36,"id798_2003",1027.31547451227
"186837",37,"id798_2003",1027.32436624708
"186838",38,"id798_2003",1027.33204157319
"186839",39,"id798_2003",1027.33862715033
"186840",40,"id798_2003",1027.34442743754
"186841",41,"id798_2003",1027.34971285262
"186842",42,"id798_2003",1027.35467588685
"186843",43,"id798_2003",1027.35944554816
"186844",44,"id798_2003",1027.36410490439
"186845",45,"id798_2003",1027.3687033926
"186846",46,"id798_2003",1027.37327665755
"186847",47,"id798_2003",1027.37785623645
"186848",48,"id798_2003",1027.38246734802
"186849",49,"id798_2003",1027.38712751571
"186850",50,"id798_2003",1027.39184994108
"186851",51,"id798_2003",1027.39664402176
"186852",52,"id798_2003",1027.40151615801
"186853",53,"id798_2003",1027.40646863438
"186854",54,"id798_2003",1027.41149964842
"186855",55,"id798_2003",1027.416604098
"186856",56,"id798_2003",1027.42177358837
"186857",57,"id798_2003",1027.42699615051
"186858",58,"id798_2003",1027.43225613183
"186859",59,"id798_2003",1027.43753736599
"186860",60,"id798_2003",1027.44282755929
"186861",61,"id798_2003",1027.44812001431
